,ID,Genus,Species,FROH,Sex,Reference,Name,Population
360,PD_0763,Papio,cynocephalus,0.0367512,M,Papio_anubis,Papio_cynocephalus,Papio_cynocephalus
361,PD_0764,Papio,cynocephalus,0.04206868,M,Papio_anubis,Papio_cynocephalus,Papio_cynocephalus
362,PD_0765,Papio,cynocephalus,0.06131931,F,Papio_anubis,Papio_cynocephalus,Papio_cynocephalus
363,PD_0766,Papio,cynocephalus,0.03177027,M,Papio_anubis,Papio_cynocephalus,Papio_cynocephalus
364,PD_0767,Papio,cynocephalus,0.02867401,M,Papio_anubis,Papio_cynocephalus,Papio_cynocephalus
365,PD_0768,Papio,cynocephalus,0.02214495,M,Papio_anubis,Papio_cynocephalus,Papio_cynocephalus
366,PD_0769,Papio,cynocephalus,0.02880863,F,Papio_anubis,Papio_cynocephalus,Papio_cynocephalus
367,PD_0770,Papio,cynocephalus,0.03574155,F,Papio_anubis,Papio_cynocephalus,Papio_cynocephalus
368,PD_0771,Papio,cynocephalus,0.03776085,M,Papio_anubis,Papio_cynocephalus,Papio_cynocephalus
369,PD_0772,Papio,cynocephalus,0.01736595,F,Papio_anubis,Papio_cynocephalus,Papio_cynocephalus
370,PD_0773,Papio,cynocephalus,0.02867401,F,Papio_anubis,Papio_cynocephalus,Papio_cynocephalus
371,PD_0774,Papio,cynocephalus,0.04031862,F,Papio_anubis,Papio_cynocephalus,Papio_cynocephalus
372,PD_0775,Papio,cynocephalus,0.0122504,M,Papio_anubis,Papio_cynocephalus,Papio_cynocephalus
373,PD_0776,Papio,kindae,0.01649092,M,Papio_anubis,Papio_kindae,Papio_kindae
374,PD_0777,Papio,kindae,0.04745347,M,Papio_anubis,Papio_kindae,Papio_kindae
375,PD_0778,Papio,kindae,0.066031,M,Papio_anubis,Papio_kindae,Papio_kindae
376,PD_0779,Papio,kindae,0.03930898,M,Papio_anubis,Papio_kindae,Papio_kindae
377,PD_0780,Papio,kindae,0.08831058,M,Papio_anubis,Papio_kindae,Papio_kindae
378,PD_0781,Papio,kindae,0.08817596,F,Papio_anubis,Papio_kindae,Papio_kindae
379,PD_0782,Papio,kindae,0.02544314,M,Papio_anubis,Papio_kindae,Papio_kindae
380,PD_0783,Papio,kindae,0.05903077,M,Papio_anubis,Papio_kindae,Papio_kindae
381,PD_0784,Papio,kindae,0.05081897,M,Papio_anubis,Papio_kindae,Papio_kindae
382,PD_0785,Papio,kindae,0.0959839,M,Papio_anubis,Papio_kindae,Papio_kindae
383,PD_0786,Papio,kindae,0.03964553,M,Papio_anubis,Papio_kindae,Papio_kindae
384,PD_0787,Papio,kindae,0.02073145,M,Papio_anubis,Papio_kindae,Papio_kindae
385,PD_0788,Papio,kindae,0.01992373,F,Papio_anubis,Papio_kindae,Papio_kindae
386,PD_0789,Papio,kindae,0.13071581,F,Papio_anubis,Papio_kindae,Papio_kindae
387,PD_0790,Papio,kindae,0.04247254,F,Papio_anubis,Papio_kindae,Papio_kindae
388,PD_0791,Papio,kindae,0.04678037,F,Papio_anubis,Papio_kindae,Papio_kindae
389,PD_0792,Papio,kindae,0.05371329,F,Papio_anubis,Papio_kindae,Papio_kindae
390,PD_0793,Papio,kindae,0.03136641,M,Papio_anubis,Papio_kindae,Papio_kindae
391,PD_0794,Aotus,vociferans,0.0,M,Aotus_nancymaae,Aotus_vociferans,Aotus_vociferans
392,PD_0794_BAB,Papio,kindae,0.04583804,M,Papio_anubis,Papio_kindae,Papio_kindae
393,PD_0795,Aotus,vociferans,0.00566103,M,Aotus_nancymaae,Aotus_vociferans,Aotus_vociferans
394,PD_0796,Aotus,vociferans,0.00433314,M,Aotus_nancymaae,Aotus_vociferans,Aotus_vociferans
395,PD_0797,Aotus,vociferans,0.00971461,M,Aotus_nancymaae,Aotus_vociferans,Aotus_vociferans
396,PD_0798,Aotus,azarae,0.00461269,M,Aotus_nancymaae,Aotus_azarae,Aotus_azarae
397,PD_0799,Aotus,azarae,0.01984856,M,Aotus_nancymaae,Aotus_azarae,Aotus_azarae
398,PD_0800,Aotus,azarae,0.01397786,F,Aotus_nancymaae,Aotus_azarae,Aotus_azarae
399,PD_0801,Aotus,azarae,0.01062317,M,Aotus_nancymaae,Aotus_azarae,Aotus_azarae
400,PD_0802,Aotus,griseimembra,0.19002901,M,Aotus_nancymaae,Aotus_griseimembra,Aotus_griseimembra
401,PD_0803,Aotus,griseimembra,0.23881174,M,Aotus_nancymaae,Aotus_griseimembra,Aotus_griseimembra
402,PD_0804,Aotus,griseimembra,0.13488635,M,Aotus_nancymaae,Aotus_griseimembra,Aotus_griseimembra
403,PD_0805,Aotus,griseimembra,0.17737905,M,Aotus_nancymaae,Aotus_griseimembra,Aotus_griseimembra
404,PD_0806,Aotus,azarae,0.33917278,M,Aotus_nancymaae,Aotus_azarae,Aotus_azarae
405,PD_0807,Aotus,azarae,0.34993573,F,Aotus_nancymaae,Aotus_azarae,Aotus_azarae
406,PD_0808,Aotus,azarae,0.38355248,F,Aotus_nancymaae,Aotus_azarae,Aotus_azarae
407,PD_0809,Aotus,azarae,0.44477551,M,Aotus_nancymaae,Aotus_azarae,Aotus_azarae
408,PD_0810,Aotus,azarae,0.36167713,F,Aotus_nancymaae,Aotus_azarae,Aotus_azarae
409,PD_0811,Aotus,azarae,0.36223625,F,Aotus_nancymaae,Aotus_azarae,Aotus_azarae
410,PD_0812,Aotus,azarae,0.35958045,M,Aotus_nancymaae,Aotus_azarae,Aotus_azarae
411,PD_0813,Aotus,azarae,0.34665093,M,Aotus_nancymaae,Aotus_azarae,Aotus_azarae
412,PD_0814,Aotus,azarae,0.34266724,F,Aotus_nancymaae,Aotus_azarae,Aotus_azarae
413,PD_0815,Aotus,azarae,0.36405337,M,Aotus_nancymaae,Aotus_azarae,Aotus_azarae
414,PD_0816,Macaca,fascicularis,0.00128574,M,Macaca_mulatta,Macaca_fascicularis,Macaca_fascicularis
415,PD_0817,Macaca,fascicularis,0.0,F,Macaca_mulatta,Macaca_fascicularis,Macaca_fascicularis
416,PD_0818,Macaca,fascicularis,0.00054137,F,Macaca_mulatta,Macaca_fascicularis,Macaca_fascicularis
417,PD_0819,Macaca,fascicularis,0.0011504,M,Macaca_mulatta,Macaca_fascicularis,Macaca_fascicularis
418,PD_0820,Macaca,fascicularis,0.0186771,M,Macaca_mulatta,Macaca_fascicularis,Macaca_fascicularis
419,PD_0821,Macaca,fascicularis,0.06347508,M,Macaca_mulatta,Macaca_fascicularis,Macaca_fascicularis
420,PD_0822,Macaca,fascicularis,0.06212167,M,Macaca_mulatta,Macaca_fascicularis,Macaca_fascicularis
421,PD_0823,Macaca,fascicularis,0.06489616,M,Macaca_mulatta,Macaca_fascicularis,Macaca_fascicularis
422,PD_0824,Macaca,fascicularis,0.02700059,M,Macaca_mulatta,Macaca_fascicularis,Macaca_fascicularis
423,PD_0825,Macaca,fascicularis,0.19692162,M,Macaca_mulatta,Macaca_fascicularis,Macaca_fascicularis
424,PD_0826,Macaca,fascicularis,0.17722946,F,Macaca_mulatta,Macaca_fascicularis,Macaca_fascicularis
425,PD_0827,Macaca,fascicularis,0.17161279,F,Macaca_mulatta,Macaca_fascicularis,Macaca_fascicularis
426,PD_0828,Macaca,fascicularis,0.00169177,F,Macaca_mulatta,Macaca_fascicularis,Macaca_fascicularis
427,PD_0829,Macaca,fascicularis,0.00175944,F,Macaca_mulatta,Macaca_fascicularis,Macaca_fascicularis
428,PD_0830,Macaca,fascicularis,0.0,F,Macaca_mulatta,Macaca_fascicularis,Macaca_fascicularis
